name,city,category,url,grade,reason
BUPURA 鳥栖店(小顔矯正),鳥栖市,小顔矯正,https://beauty.hotpepper.jp/kr/slnH000758171/,Exclude,小顔矯正 claim + chain店.
痩身フェイシャルサロン parfum doux,大川市,痩身/フェイシャル,https://beauty.hotpepper.jp/kr/slnH000598016/,Exclude,痩身 + 大川=out-of-core.
体質改善サロン,小郡市,体質改善/リンパ,ameba,Exclude,体質改善 = treatment-adjacent claim.
ROU.RI,大川市,エステ,slnH000782163(collision),Exclude,大川=out-of-core + URL collision.
ゆう庵,大川市,リラクゼーション,slnH000782163(collision),Exclude,大川=out-of-core + URL collision.
AGELESS,筑後市,まつげ,https://beauty.hotpepper.jp/kr/slnH000700894/,Exclude,eyelash = off-category.
Total Beauty Salon Apolo,八女市,まつげ,https://beauty.hotpepper.jp/kr/slnH000489362/,Exclude,eyelash = off-category.
Nail&Beauty NEON 八女店,八女市,ネイル/まつげ,https://beauty.hotpepper.jp/kr/slnH000522913/,Exclude,nail/eyelash + chain店 = off-category.
BELINDA beauty salon,鳥栖市,まつげ,slnH000758171(collision),Exclude,eyelash off-category + URL collision.
eye&nail amita,小郡市,まつげ/ネイル,ameba,Exclude,eyelash/nail = off-category.
マツエク＆リラクゼーションrei to you,久留米市,まつげ,https://reitoyou.jimdofree.com/,Exclude,まつげ primary = off-category (relaxation secondary).
エイジングレスサロン COCORO 八女店,八女市,エステ,https://beauty.hotpepper.jp/kr/slnH000100640/,Exclude,「八女店」= chain/multi-branch.
Rutilebeautysalon八女店,八女市,エステ,https://beauty.hotpepper.jp/kr/slnH000782163/,Exclude,「八女店」= chain + URL collision root.
NaNairo サロン nicolly,筑後市,エステ,https://beauty.hotpepper.jp/kr/slnH000628089/,Exclude,NaNairo = same URL as Pua Manu = chain/dup.
NaNairoサロン Pua Manu,鳥栖市,エステ,https://beauty.hotpepper.jp/kr/slnH000628089/,Exclude,NaNairo chain (dup URL w/ nicolly).
Pear/ペア,久留米市,リンパマッサージ,https://pear-salon.jimdofree.com/,Exclude(dup),DUPLICATE = our existing Pear demo (already in pipeline).
